,Fecha,Estacion_de_Servicio,Producto,Vehiculo,Equipo/Placa,Cantidad_Galones,Costo_Total_ACPM,Actividad_Equipo
120,2023-01-13,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,11.644,100441.144,MINERIA
121,2023-01-13,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
122,2023-01-13,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,118.0,841930.0,RENTA
123,2023-01-14,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
124,2023-01-15,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
125,2023-01-16,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,12.538,108152.788,MINERIA
126,2023-01-16,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
127,2023-01-16,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
128,2023-01-17,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,220.0,1569700.0,MINERIA
129,2023-01-17,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,16.0,114160.0,MINERIA
130,2023-01-18,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,9.22,79531.72,MINERIA
131,2023-01-18,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
132,2023-01-18,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,59.0,420965.0,RENTA
133,2023-01-18,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
134,2023-01-19,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,155.7,1110919.5,MINERIA
135,2023-01-19,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,21.332,152203.82,MINERIA
136,2023-01-19,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
137,2023-01-20,EDS EL REFUGIO,CORRIENTE,HILUX,BKT 858,10.883,93876.75799999999,MINERIA
138,2023-01-20,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,16.0,114160.0,MINERIA
139,2023-01-20,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,220.0,1569700.0,MINERIA
140,2023-01-20,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,59.0,420965.0,RENTA
141,2023-01-20,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
142,2023-01-21,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
143,2023-01-21,EDS EL REFUGIO,ACPM,MAQUINARIA,MAQUINARIA,177.0,1262895.0,MINERIA
144,2023-01-21,EDS EL REFUGIO,ACPM,MAQUINARIA,EQUIPO 07,59.0,420965.0,RENTA
